iter	Passed	Remaining
0	19	9760
1	38	9572
2	57	9500
3	74	9278
4	94	9335
5	113	9337
6	132	9343
7	149	9204
8	167	9161
9	189	9279
10	210	9357
11	231	9405
12	252	9441
13	271	9435
14	290	9408
15	310	9393
16	329	9372
17	349	9357
18	367	9313
19	387	9294
20	406	9270
21	426	9264
22	446	9252
23	463	9193
24	483	9182
25	501	9142
26	521	9129
27	540	9114
28	559	9093
29	578	9061
30	596	9029
31	619	9061
32	638	9036
33	657	9017
34	675	8976
35	691	8914
36	710	8895
37	729	8869
38	748	8845
39	767	8829
40	786	8802
41	806	8799
42	825	8771
43	844	8748
44	863	8727
45	882	8714
46	903	8705
47	925	8718
48	945	8703
49	965	8693
50	986	8688
51	1006	8674
52	1026	8655
53	1046	8640
54	1065	8620
55	1084	8600
56	1103	8579
57	1122	8556
58	1142	8539
59	1162	8521
60	1181	8506
61	1201	8488
62	1220	8465
63	1239	8446
64	1258	8419
65	1280	8418
66	1301	8412
67	1322	8399
68	1343	8394
69	1367	8399
70	1387	8386
71	1409	8377
72	1430	8368
73	1452	8359
74	1472	8344
75	1493	8331
76	1516	8332
77	1540	8335
78	1566	8350
79	1588	8339
80	1614	8349
81	1638	8354
82	1663	8360
83	1688	8361
84	1712	8360
85	1738	8367
86	1762	8368
87	1785	8358
88	1806	8341
89	1826	8320
90	1847	8303
91	1869	8288
92	1887	8258
93	1907	8236
94	1927	8215
95	1945	8188
96	1965	8164
97	1985	8143
98	2004	8119
99	2024	8096
100	2041	8066
101	2060	8039
102	2079	8015
103	2099	7992
104	2118	7970
105	2138	7948
106	2157	7922
107	2175	7897
108	2195	7873
109	2214	7851
110	2234	7829
111	2254	7810
112	2274	7788
113	2293	7764
114	2312	7741
115	2332	7720
116	2350	7695
117	2370	7673
118	2389	7651
119	2409	7630
120	2427	7604
121	2446	7578
122	2464	7554
123	2483	7529
124	2502	7506
125	2520	7482
126	2538	7456
127	2557	7431
128	2574	7405
129	2594	7383
130	2613	7361
131	2632	7339
132	2649	7310
133	2668	7288
134	2687	7266
135	2706	7245
136	2725	7221
137	2745	7201
138	2765	7181
139	2783	7157
140	2802	7136
141	2822	7115
142	2842	7095
143	2862	7075
144	2881	7053
145	2900	7032
146	2919	7011
147	2939	6991
148	2958	6970
149	2976	6945
150	2994	6920
151	3010	6892
152	3029	6870
153	3048	6848
154	3066	6825
155	3085	6803
156	3104	6781
157	3123	6760
158	3143	6741
159	3162	6721
160	3182	6701
161	3201	6679
162	3221	6659
163	3240	6639
164	3260	6620
165	3280	6600
166	3298	6577
167	3317	6555
168	3336	6534
169	3355	6514
170	3376	6495
171	3394	6472
172	3414	6453
173	3434	6434
174	3453	6414
175	3472	6393
176	3492	6373
177	3511	6352
178	3530	6331
179	3550	6311
180	3569	6290
181	3587	6268
182	3608	6250
183	3627	6229
184	3648	6212
185	3668	6192
186	3687	6172
187	3707	6153
188	3727	6133
189	3746	6113
190	3766	6093
191	3784	6071
192	3804	6051
193	3823	6030
194	3841	6009
195	3861	5989
196	3880	5968
197	3900	5949
198	3920	5929
199	3939	5909
200	3958	5888
201	3977	5867
202	3996	5847
203	4015	5826
204	4033	5805
205	4053	5784
206	4071	5763
207	4091	5743
208	4110	5723
209	4130	5703
210	4149	5683
211	4168	5662
212	4186	5641
213	4206	5622
214	4226	5602
215	4245	5581
216	4264	5562
217	4284	5542
218	4304	5522
219	4323	5502
220	4343	5483
221	4362	5462
222	4380	5441
223	4399	5420
224	4418	5400
225	4438	5381
226	4458	5362
227	4478	5342
228	4498	5323
229	4517	5303
230	4537	5283
231	4556	5264
232	4576	5243
233	4593	5222
234	4610	5199
235	4629	5178
236	4648	5158
237	4668	5139
238	4687	5118
239	4706	5098
240	4725	5078
241	4744	5058
242	4763	5038
243	4783	5019
244	4803	4999
245	4822	4979
246	4841	4958
247	4859	4937
248	4878	4917
249	4897	4897
250	4916	4877
251	4936	4858
252	4956	4838
253	4974	4818
254	4994	4798
255	5014	4779
256	5034	4760
257	5054	4741
258	5074	4721
259	5093	4702
260	5112	4681
261	5132	4662
262	5151	4642
263	5170	4622
264	5189	4602
265	5209	4582
266	5228	4562
267	5247	4542
268	5267	4523
269	5286	4503
270	5305	4483
271	5325	4464
272	5345	4444
273	5364	4424
274	5381	4402
275	5400	4383
276	5420	4363
277	5439	4343
278	5458	4323
279	5477	4303
280	5495	4283
281	5514	4262
282	5533	4242
283	5551	4222
284	5570	4202
285	5590	4183
286	5609	4162
287	5628	4143
288	5648	4123
289	5667	4103
290	5685	4083
291	5704	4063
292	5724	4044
293	5743	4024
294	5763	4004
295	5781	3984
296	5801	3965
297	5821	3946
298	5840	3926
299	5859	3906
300	5878	3886
301	5897	3866
302	5916	3846
303	5935	3827
304	5955	3807
305	5973	3787
306	5992	3767
307	6011	3747
308	6030	3727
309	6049	3707
310	6068	3687
311	6087	3668
312	6107	3648
313	6125	3628
314	6145	3609
315	6164	3589
316	6184	3569
317	6203	3550
318	6222	3530
319	6243	3511
320	6262	3491
321	6280	3472
322	6300	3452
323	6319	3433
324	6339	3413
325	6359	3394
326	6378	3374
327	6398	3355
328	6417	3335
329	6437	3316
330	6456	3296
331	6475	3276
332	6494	3257
333	6514	3237
334	6533	3217
335	6551	3197
336	6571	3178
337	6591	3159
338	6611	3139
339	6629	3119
340	6649	3100
341	6668	3080
342	6688	3061
343	6707	3041
344	6726	3021
345	6745	3002
346	6765	2983
347	6784	2963
348	6804	2943
349	6823	2924
350	6842	2904
351	6862	2885
352	6881	2865
353	6899	2845
354	6919	2826
355	6939	2806
356	6959	2787
357	6979	2768
358	6999	2748
359	7017	2729
360	7036	2709
361	7055	2689
362	7074	2670
363	7093	2650
364	7112	2630
365	7132	2611
366	7152	2591
367	7171	2572
368	7191	2553
369	7210	2533
370	7230	2514
371	7248	2494
372	7268	2474
373	7286	2454
374	7305	2435
375	7324	2415
376	7343	2396
377	7362	2376
378	7380	2356
379	7400	2336
380	7420	2317
381	7439	2298
382	7458	2278
383	7477	2258
384	7496	2239
385	7515	2219
386	7534	2200
387	7553	2180
388	7573	2161
389	7592	2141
390	7612	2122
391	7631	2102
392	7650	2083
393	7668	2063
394	7688	2043
395	7708	2024
396	7727	2004
397	7746	1985
398	7766	1965
399	7785	1946
400	7804	1926
401	7823	1907
402	7842	1887
403	7861	1868
404	7880	1848
405	7899	1828
406	7918	1809
407	7938	1790
408	7957	1770
409	7977	1751
410	7997	1731
411	8016	1712
412	8036	1692
413	8055	1673
414	8074	1653
415	8094	1634
416	8113	1614
417	8132	1595
418	8152	1575
419	8171	1556
420	8191	1537
421	8210	1517
422	8229	1498
423	8249	1478
424	8268	1459
425	8287	1439
426	8307	1420
427	8326	1400
428	8345	1381
429	8363	1361
430	8381	1341
431	8401	1322
432	8421	1303
433	8439	1283
434	8459	1264
435	8477	1244
436	8496	1224
437	8515	1205
438	8534	1185
439	8553	1166
440	8572	1146
441	8591	1127
442	8611	1108
443	8631	1088
444	8650	1069
445	8669	1049
446	8688	1030
447	8708	1010
448	8728	991
449	8747	971
450	8765	952
451	8784	932
452	8803	913
453	8822	893
454	8841	874
455	8860	854
456	8879	835
457	8898	816
458	8917	796
459	8937	777
460	8957	757
461	8976	738
462	8996	718
463	9016	699
464	9035	680
465	9055	660
466	9075	641
467	9094	621
468	9113	602
469	9132	582
470	9152	563
471	9171	544
472	9191	524
473	9209	505
474	9229	485
475	9249	466
476	9268	446
477	9287	427
478	9306	407
479	9325	388
480	9343	369
481	9363	349
482	9382	330
483	9401	310
484	9420	291
485	9438	271
486	9457	252
487	9476	233
488	9495	213
489	9514	194
490	9534	174
491	9554	155
492	9574	135
493	9594	116
494	9613	97
495	9632	77
496	9651	58
497	9670	38
498	9690	19
499	9709	0
